country,HDI,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,GNI per Capita,GNI per Capita minus HDI Rank,HDI Rank 2014,HDI Rank
Hungary,0.8362114928086669,75.313,15.59518,12.02,23394.32423,6,43,43
Latvia,0.8298622874233904,74.342,15.97411,11.73641794,22589.17355,7,44,44
Argentina,0.8274005100926863,76.457,17.2605,9.85,20945.12105,12,45,45
Croatia,0.8274029425081648,77.495,15.25955,11.22219652,20291.34365,14,46,45
Bahrain,0.8238840953212773,76.715,14.5,9.419,37236.36304,-19,46,47
Montenegro,0.8072243461010499,76.401,15.13368,11.28716,15409.60512,24,49,48
Russian Federation,0.8039082852160944,70.264,14.95315,12.01999,23286.08065,1,48,49
Romania,0.8023817138286202,74.837,14.73498,10.79977,19427.60925,11,51,50
Kuwait,0.800182931694956,74.549,13.26,7.265368804,76075.20735,-48,50,51
Belarus,0.7958270606749172,71.464,15.66023,11.97681,15629.44697,19,51,52
Oman,0.7957786152847307,76.97,13.74085,8.1,34402.2755,-21,53,52
Barbados,0.7947191576398792,75.773,15.29256,10.45693616,14951.61701,20,54,54
Uruguay,0.7947858930090355,77.351,15.51185,8.57907,19148.05627,8,54,54
Bulgaria,0.7936415651852008,74.322,15.04037,10.79879781,16261.26026,13,57,56
Kazakhstan,0.7941230625271176,69.588,14.97189,11.676,22093.08651,-3,56,56
Bahamas,0.791622829320128,75.556,12.7,10.86785,21565.05081,-3,58,58
Malaysia,0.7894497380193991,74.901,13.07991,10.11094944,24619.6547,-13,59,59
Palau,0.7877852259915055,72.87,14.29263,12.32727758,13770.8252,21,62,60
Panama,0.7876562197044564,77.755,13.038995,9.854,19470.2025,0,60,60
Antigua and Barbuda,0.7855890021489295,76.236,13.9489,9.206912964,20907.21742,-4,61,62
Seychelles,0.7824178115502439,73.303,14.14079,9.4,23886.12252,-15,63,63
Mauritius,0.7813862511580669,74.595,15.16978,9.094,17947.96398,1,64,64
Trinidad and Tobago,0.7799124276294022,70.52,12.747,10.88346335,28049.08642,-25,64,65
Costa Rica,0.7764529426325617,79.613,14.16446402,8.70746,14006.35509,14,66,66
Serbia,0.775733710856063,75.049,14.36068,10.81862,12202.12775,22,66,66
Cuba,0.7746693585023093,79.573,13.93739,11.7507808,7455.062477,48,69,68
Iran (Islamic Republic of),0.7740632056514319,75.581,14.82424,8.77,16395.17737,-2,68,69
Georgia,0.7693968752354562,75.02,13.90488,12.24651,8855.829885,38,71,70
Turkey,0.7669959695412559,75.528,14.59658499,7.88786,18704.52728,-7,72,71
Venezuela (Bolivarian Republic of),0.7667164168922751,74.387,14.3,9.39779,15128.64103,2,70,71
Sri Lanka,0.7664380813723406,75.049,13.96716,10.91508197,10788.90853,21,72,73
Saint Kitts and Nevis,0.7650540821063501,73.979,13.65943,8.4,22436.47559,-22,75,74
Albania,0.7641737283473781,77.968,14.17968,9.64681,10252.46983,24,75,75
Lebanon,0.7628411802422744,79.537,13.28786,8.605452453,13311.57619,8,74,76
Mexico,0.7616828966974584,76.972,13.29909,8.554984833,16383.10668,-9,77,77
Azerbaijan,0.7585275812675639,70.896,12.65043,11.16,16413.26033,-12,77,78
Brazil,0.7541436342692085,74.748,15.19532,7.76,14145.13735,-1,79,79
Grenada,0.7535557686524881,73.557,15.76322,8.6,11502.18581,13,80,79
Bosnia and Herzegovina,0.7498335225589404,76.634,14.17568,9.0135,10090.77442,22,82,81
The former Yugoslav Republic of Macedonia,0.7480942790823939,75.532,12.8942,9.443739404,12405.21668,5,83,82
Algeria,0.7448055774984789,75.027,14.35778,7.785367056,13532.96078,-1,84,83
Armenia,0.7428498307746667,74.886,12.71321785,11.29105,8189.115193,28,85,84
Ukraine,0.7430494229198642,71.129,15.30672,11.34,7361.011228,34,81,84
Jordan,0.7414985111845117,74.175,13.135925,10.098,10111.33377,15,85,86
