country_code,country,city,city_id,rel_id,population,wikidata,lat,lon,parking,place_of_worship,school,bench,restaurant,fuel,cafe,fast_food,bank,waste_basket,post_box,pharmacy,bicycle_parking,toilets,kindergarten,recycling,shelter,grave_yard,drinking_water,post_office,pub,bar,hospital,atm,parking_space,police,hunting_stand,vending_machine,telephone,townhall,fire_station,fountain,public_building,doctors,community_centre,library,clinic,social_facility,car_wash,dentist,waste_disposal,marketplace,bus_station,university,college,parking_entrance,swimming_pool,theatre,taxi,veterinary
DE,Germany,Pforzheim,64,62471,117754.0,Q3046,48.8908846,8.7029532,724,57,43,610,113,27,29,60,44,140,86,31,100,21,74,124,47,4,6,8,46,2,5,4,4,6,159,170,80,9,9,29,2,8,10,6,0,14,12,5,0,3,0,1,1,29,0,3,2,3
DE,Germany,Bremerhaven,65,62658,117281.0,Q2706,53.552226399999995,8.5865509,403,42,59,158,112,26,31,73,21,70,60,22,71,19,39,48,26,0,0,5,52,14,3,20,6,10,1,90,28,1,9,9,13,37,3,4,1,36,10,5,2,4,1,1,5,2,0,3,18,1
DE,Germany,Remscheid,66,62455,116827.0,Q3097,51.1798706,7.194354400000001,352,38,53,163,69,23,32,31,20,18,37,26,3,2,20,325,54,1,0,5,11,13,5,8,19,3,2,20,25,4,10,8,4,30,3,3,0,7,2,5,2,0,4,1,2,15,0,4,2,1
DE,Germany,Bottrop,67,62634,116055.0,Q3069,51.521581,6.9292039999999995,287,41,76,93,50,20,19,48,14,12,25,16,29,16,43,37,15,1,0,3,15,5,11,9,31,2,8,6,10,2,8,7,14,9,1,2,1,15,5,4,0,3,0,1,2,6,0,4,4,4
DE,Germany,Recklinghausen,68,56665,115320.0,Q3050,51.6143815,7.1978546,442,54,58,122,82,21,28,48,28,14,42,33,117,16,48,54,7,0,0,15,22,10,5,8,746,5,1,45,22,1,8,4,19,50,2,1,1,12,8,9,4,1,1,0,3,23,0,3,5,1
DE,Germany,Reutlingen,69,2772661,112099.0,Q3085,48.4919508,9.2114144,359,72,55,218,119,20,50,48,51,32,75,27,105,12,75,59,14,5,1,16,44,12,1,23,1,5,23,35,36,12,13,34,6,36,5,8,0,11,10,10,1,3,1,4,3,18,0,6,7,5
DE,Germany,Koblenz,70,62512,110643.0,Q3104,50.3533278,7.5943951,615,74,63,257,132,25,39,40,50,131,62,34,68,16,22,198,39,1,1,13,29,21,5,18,75,6,16,92,36,2,11,18,9,14,5,3,0,8,6,10,1,0,4,4,0,7,0,5,4,1
DE,Germany,Bergisch Gladbach,71,173103,109425.0,Q3117,50.9929303,7.1277379000000005,440,42,63,75,80,19,23,19,31,13,73,24,15,5,67,44,120,2,6,10,9,1,10,5,0,3,19,12,32,2,5,7,6,9,3,7,2,7,6,9,0,3,3,3,4,9,0,3,4,2
DE,Germany,Jena,72,62693,107679.0,Q3150,50.9281717,11.5879359,467,34,38,472,99,15,40,54,22,80,76,32,82,13,64,111,20,5,2,9,33,10,3,23,5,3,93,38,19,2,9,14,11,23,7,18,2,12,9,7,5,2,2,3,0,12,0,5,5,2
DE,Germany,Trier,73,172679,107233.0,Q3138,49.7596208,6.6441878,900,85,78,356,169,12,51,60,37,70,68,34,160,17,43,131,66,4,2,9,55,10,5,19,3,6,10,177,28,3,12,31,7,47,9,8,1,44,10,16,7,2,0,7,1,41,0,1,3,6
DE,Germany,Erlangen,74,62403,105624.0,Q3126,49.5981187,11.003645,759,59,52,688,194,21,79,65,48,175,76,35,262,47,53,140,20,3,1,25,31,11,20,19,31,1,7,268,50,1,12,30,20,69,18,24,1,18,9,30,1,4,2,67,4,19,0,4,12,1
DE,Germany,Moers,75,58623,105102.0,Q3132,51.451283000000004,6.628430000000001,408,29,52,199,62,23,13,24,25,101,56,22,15,14,27,37,7,3,0,8,24,2,6,3,4,5,1,38,24,3,11,1,5,9,6,4,0,7,11,6,1,0,2,0,1,10,0,4,5,5
DE,Germany,Siegen,76,62403,99403.0,Q3126,50.8749804,8.0227233,759,59,52,688,194,21,79,65,48,175,76,35,262,47,53,140,20,3,1,25,31,11,20,19,31,1,7,268,50,1,12,30,20,69,18,24,1,18,9,30,1,4,2,67,4,19,0,4,12,1
DE,Germany,Hildesheim,77,1176503,99390.0,Q3185,52.1521636,9.9513046,348,61,62,181,95,24,33,44,30,4,39,28,41,13,26,77,6,1,0,6,26,10,6,12,3,6,1,11,26,4,12,8,12,32,5,4,0,6,8,10,0,1,1,4,4,1,0,4,3,3
DE,Germany,Salzgitter,78,62659,98197.0,Q3200,52.1503721,10.3593147,496,68,47,161,59,24,16,22,21,16,88,31,10,2,32,135,28,4,0,7,11,2,2,3,28,5,3,13,13,4,31,8,16,5,5,3,1,11,9,9,0,3,2,3,1,7,0,2,4,5
